original_symbol,yahoo_symbol
SNDK,SNDK
GEV,GEV
MU,MU
META,META
DE,DE
AMD,AMD
APP,APP
UNH,UNH
TSLA,TSLA
HD,HD
AAPL,AAPL
ARM,ARM
INTU,INTU
MCD,MCD
SNOW,SNOW
AMZN,AMZN
ADBE,ADBE
CRL,CRL
MRVL,MRVL
MORN,MORN
CRM,CRM
SOXL,SOXL
FTNT,FTNT
COIN,COIN
TOL,TOL
ROKU,ROKU
PEP,PEP
TGT,TGT
SE,SE
HOOD,HOOD
APO,APO
DECK,DECK
LNTH,LNTH
INTC,INTC
FUTU,FUTU
DIS,DIS
MSTR,MSTR
FROG,FROG
LMND,LMND
MRNA,MRNA
QNT,QNT
CGNX,CGNX
CRCL,CRCL
MBX,MBX
TEM,TEM
AAP,AAP
RBLX,RBLX
NKE,NKE
ENPH,ENPH
BILL,BILL
OUST,OUST
IREN,IREN
IONQ,IONQ
TSAT,TSAT
WYFI,WYFI
GCT,GCT
HIMS,HIMS
ADEA,ADEA
SMCI,SMCI
BTC,BTC-USD
WRBY,WRBY
DXYZ,DXYZ
CCL,CCL
DKNG,DKNG
BKSY,BKSY
FIVN,FIVN
ADNT,ADNT
NOV,NOV
SRPT,SRPT
AEVA,AEVA
QBTS,QBTS
SOFI,SOFI
ERAS,ERAS
QDEL,QDEL
BILI,BILI
PGY,PGY
06168.HK,6168.HK
AES,AES
BMNR,BMNR
APLM,APLM
RKT,RKT
NVTS,NVTS
CLSK,CLSK
MARA,MARA
BTDR,BTDR
VLD,VLD
NEOG,NEOG
TDOC,TDOC
RDW,RDW
PSKY,PSKY
AI,AI
DNA,DNA
DJT,DJT
SMR,SMR
BFLY,BFLY
BKKT,BKKT
SOUN,SOUN
LWLG,LWLG
LUMN,LUMN
ALGS,ALGS
QS,QS
ATOM,ATOM
ARRY,ARRY
PTON,PTON
AUR,AUR
GALT,GALT
VIVO,VIVO
RXT,RXT
OPEN,OPEN
TLRY,TLRY
EOSE,EOSE
SATL,SATL
AIOT,AIOT
IRWD,IRWD
AQST,AQST
CSAN,CSAN
PLCE,PLCE
KULR,KULR
BLDP,BLDP
NKTX,NKTX
XRX,XRX
RZLV,RZLV
SPCE,SPCE
VUZI,VUZI
CMPX,CMPX
AMC,AMC
GOTU,GOTU
HTZ,HTZ
FMST,FMST
ZVIA,ZVIA
GNSS,GNSS
BTBT,BTBT
TURB,TURB
RC,RC
PACR,PACR
VERI,VERI
LDI,LDI
BTCS,BTCS
SGRP,SGRP
GPRO,GPRO
SES,SES
ARBE,ARBE
REKR,REKR
BYND,BYND
ZEO,ZEO
